"Date","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","Negative","Positive","y"
"2009-09-04",11,8,5,14,7,9,9,16,22,19,1
"2009-09-08",15,13,3,16,10,9,9,16,21,21,1
"2009-09-09",13,7,5,12,2,9,3,8,18,11,1
"2009-09-10",14,17,7,18,11,11,10,28,21,35,1
"2009-09-11",10,10,11,19,5,14,4,13,21,22,0
"2009-09-14",16,11,8,17,9,16,4,24,28,32,1
"2009-09-15",6,8,5,13,6,5,4,11,17,20,1
"2009-09-16",11,10,3,20,8,8,6,19,19,23,1
"2009-09-17",17,13,11,28,10,22,5,18,31,22,0
"2009-09-18",18,11,8,31,8,16,8,18,35,20,1
"2009-09-21",7,10,6,13,6,6,3,19,16,23,0
"2009-09-22",10,8,7,21,6,9,4,13,17,20,1
"2009-09-23",19,17,7,19,6,13,5,14,34,30,0
"2009-09-24",13,10,9,18,6,12,4,21,27,22,0
"2009-09-25",12,10,4,18,7,10,4,18,21,20,0
"2009-09-28",7,6,4,14,5,9,6,8,22,14,1
"2009-09-29",17,14,11,24,6,13,6,18,31,23,0
"2009-09-30",9,13,5,13,10,5,4,12,18,25,0
"2009-10-01",17,9,6,23,7,10,7,14,26,24,0
"2009-10-02",12,12,11,18,9,12,9,14,27,20,0
"2009-10-05",17,16,5,25,10,13,14,21,32,35,1
"2009-10-06",11,14,6,18,9,12,9,20,22,24,1
"2009-10-07",20,12,12,22,5,15,4,16,33,27,0
"2009-10-08",12,13,6,20,9,17,6,23,30,25,1
"2009-10-09",10,8,3,10,3,8,4,13,23,23,1
"2009-10-12",8,11,6,17,4,6,4,10,22,21,1
"2009-10-13",17,12,6,20,10,12,6,22,30,23,0
"2009-10-14",12,12,7,20,5,11,8,13,25,20,1
"2009-10-15",13,11,7,18,9,13,6,22,26,32,1
"2009-10-16",13,12,5,16,6,8,4,15,21,22,0
"2009-10-19",13,7,5,17,7,13,7,13,26,32,1
"2009-10-20",6,13,0,12,4,2,5,13,12,21,0
"2009-10-21",16,15,5,18,8,10,4,16,18,26,0
"2009-10-22",12,11,9,16,11,12,3,18,28,27,1
"2009-10-23",13,11,8,26,10,12,5,19,30,29,0
"2009-10-26",8,9,4,10,4,8,1,10,18,21,0
